ID;COUNTRY;STATE;LAT;LONG;DAY;MONTH;YEAR
308;EC;;-0.6719;-76.3994;24;2;2020
309;EC;;-0.6805;-76.3953;8;12;2021
310;EC;;-0.6675;-75.9387;19;10;2021
311;EC;;-0.5269;-76.3848;28;6;2022
312;EC;;-0.6674;-75.9363;11;9;2022
313;EC;;-1.0009;-76.8731;7;6;2022
314;EC;;-0.8021;-75.9033;15;11;2021
315;EC;;-0.6634;-75.9172;10;6;2022
316;EC;;-0.801;-75.9028;27;9;2023
317;EC;;-0.9773;-75.4323;23;5;2023
318;EC;;-0.5306;-76.3607;13;5;2021
319;EC;;-0.7709;-75.9059;15;11;2021
320;EC;;-0.7521;-75.9128;22;12;2022
321;EC;;-1.583;-75.614;12;12;2022
322;EC;;-0.7382;-75.9216;27;8;2022
323;EC;;-0.5325;-76.3756;22;4;2021
324;EC;;-0.8901;-76.8155;22;2;2021
325;EC;;-0.5297;-76.3905;2;8;2021
326;EC;;-0.6744;-76.3866;2;2;2021
327;EC;;-0.832;-75.9173;21;9;2023
328;EC;;-0.5274;-76.3797;11;11;2020
329;EC;;-0.8262;-75.6135;2;9;2022
330;EC;;-0.8513;-75.9254;16;10;2021
331;EC;;-0.7276;-75.917;22;3;2023
332;EC;;-1.1059;-75.492;10;3;2022
333;EC;;-0.7203;-75.9136;13;4;2020
334;EC;;-0.9727;-75.4479;14;8;2023
335;EC;;-0.9797;-75.4259;5;10;2023
336;EC;;-0.7655;-75.9059;19;4;2022
337;EC;;-0.6799;-76.4024;24;3;2021
338;EC;;-1.0531;-75.4632;23;10;2021
339;EC;;-0.6632;-75.9188;1;8;2022
340;EC;;-0.5285;-76.3883;2;8;2021
341;EC;;-0.6869;-76.4116;1;9;2021
342;EC;;-0.7247;-75.9165;15;11;2022
343;EC;;-0.7701;-75.9059;12;7;2023
344;CO;Caldas;5.558333;-74.785969;11;9;2023
345;GT;Peten;17.28438;-89.95942;11;10;2023
346;MX;Quintana Roo;18.450147;-89.13778;8;2;2023
347;BR;Mato Grosso;-17.390324;-56.64184;31;7;2022
348;EC;;-0.603673;-78.237107;7;1;2020
349;EC;;-0.385867;-78.17682;18;11;2020
350;EC;;-0.392878;-78.199041;23;10;2020
351;EC;;-0.76537;-77.821473;10;11;2020
352;AR;Chaco;-25.165194;-60.804795;14;11;2023
353;AR;Chaco;-25.020124;-60.913108;17;11;2023
354;GT;Peten;17.402584;-89.23416;2;12;2023
355;GT;Peten;17.556213;-89.206131;2;12;2023
356;GT;Peten;17.558885;-89.339723;26;10;2023
357;MX;Quintana Roo;20.914022;-87.198348;4;1;2022
358;EC;Orellana;-0.670883;-76.286263;27;10;2023
359;GT;Peten;17.505023;-89.21254;25;10;2023
360;GT;Peten;17.402707;-89.309003;25;10;2023
361;GT;Peten;17.523173;-89.282126;25;10;2023
362;GT;Peten;17.537023;-89.341617;25;10;2023
363;EC;Sucumbios;0.012253;-77.411727;21;12;2021
364;EC;Sucumbios;-0.00084;-77.514212;6;1;2022
365;EC;Sucumbios;0.107758;-76.851204;14;1;2020
366;EC;Sucumbios;-0.025176;-77.497689;5;1;2022
367;PE;Loreto;-4.267567;-73.297601;3;7;2023
368;AR;Misiones;-25.851022;-54.069311;30;4;2023
369;CR;Guanacaste;10.801074;-85.429583;17;6;2023
370;AR;Misiones;-25.969526;-54.120615;29;4;2023
371;AR;Misiones;-25.966512;-54.163041;29;4;2023
372;EC;Esmeraldas;0.633137;-79.194556;8;6;2022
373;EC;Esmeraldas;0.654832;-79.198253;17;8;2022
374;EC;Esmeraldas;0.613078;-79.170297;13;1;2022
375;EC;Esmeraldas;0.631883;-79.190796;28;12;2021
376;BR;Mato Grosso;-17.210292;-56.759007;21;7;2022
377;PE;Madre de Dios;-12.953424;-71.525126;13;1;2020
378;AR;Misiones;-25.994682;-54.050829;12;11;2022
379;CO;Arauca;6.739522;-70.231882;22;3;2021
380;CR;Guanacaste;10.847266;-85.659663;28;9;2022
381;CR;Guanacaste;11.02931;-85.592733;22;5;2022
382;BR;Federal district;-15.636667;-48.039167;25;9;2021
383;EC;Esmeraldas;0.631768;-79.179186;19;2;2020
384;EC;Esmeraldas;0.623541;-79.182339;22;7;2020
385;EC;Esmeraldas;0.615978;-79.17687;5;8;2020
386;GF;Cayenne;3.906143;-52.522187;25;11;2020
