ID;Country_Code;Province;Latitude;Longitude;Date;Day;Month;Year
194;EC;;-0.7638;-75.9058;8/24/2023;24;8;2023
195;EC;;-1.1029;-75.492;9/13/2021;13;9;2021
196;EC;;-0.6806;-76.3953;10/1/2023;1;10;2023
197;EC;;-0.7911;-75.8983;5/4/2020;4;5;2020
198;EC;;-0.5251;-76.3827;2/17/2021;17;2;2021
199;EC;;-0.7382;-75.9215;9/1/2022;1;9;2022
200;EC;;-0.7552;-75.9088;6/5/2022;5;6;2022
201;EC;;-0.5305;-76.3778;3/4/2020;4;3;2020
202;EC;;-0.6716;-75.9587;4/11/2021;11;4;2021
203;EC;;-0.5291;-76.3878;2/24/2023;24;2;2023
204;EC;;-0.5319;-76.388;2/14/2021;14;2;2021
205;EC;;-0.8152;-75.6193;12/16/2020;16;12;2020
206;EC;;-0.6645;-75.9151;6/10/2022;10;6;2022
207;EC;;-0.7546;-75.9088;1/14/2023;14;1;2023
208;EC;;-0.7884;-75.8987;9/21/2023;21;9;2023
209;EC;;-0.6843;-75.9431;10/5/2022;5;10;2022
210;EC;;-0.7171;-76.653;5/2/2022;2;5;2022
211;EC;;-0.8508;-75.9252;7/17/2023;17;7;2023
212;EC;;-0.5252;-76.3833;3/4/2022;4;3;2022
213;EC;;-0.7495;-75.9165;6/26/2023;26;6;2023
214;EC;;-1.587;-75.6149;9/7/2021;7;9;2021
215;EC;;-0.5278;-76.3917;6/26/2023;26;6;2023
216;EC;;-1.0347;-75.4315;4/20/2022;20;4;2022
217;EC;;-0.6828;-75.9452;2/20/2023;20;2;2023
218;EC;;-0.6719;-75.9587;2/6/2023;6;2;2023
219;EC;;-0.8616;-75.9228;6/29/2021;29;6;2021
220;EC;;-0.7688;-75.906;2/22/2022;22;2;2022
221;EC;;-1.1225;-75.497;12/13/2020;13;12;2020
222;EC;;-0.5334;-76.3662;9/20/2021;20;9;2021
223;EC;;-0.5221;-76.3575;4/14/2021;14;4;2021
224;EC;;-0.5254;-76.3908;8/22/2022;22;8;2022
225;EC;;-0.5252;-76.3834;3/15/2022;15;3;2022
226;EC;;-0.9987;-76.8955;8/8/2022;8;8;2022
227;EC;;-0.7475;-75.9168;6/9/2023;9;6;2023
228;EC;;-0.7381;-75.9215;5/16/2022;16;5;2022
